profile_id,W1_m,W2_m,Wmax_m,Dmax_m,H1_m,H2_m,B1_deg,B2_deg,Wmax_Dmax
1,903.0882618290876,3162.0072812103795,4065.095543039467,366.47673822959075,974.0450790166753,3183.7840680557097,67.99499484677332,83.29413284449161,11.092369907780508
2,1899.9294652522167,3209.2950543140737,5109.224519566291,419.13627512457276,1944.109857597109,3238.073737954463,77.76001141120916,82.35257710016528,12.18988864194053
3,2157.8672485135044,2806.5403842942624,4964.407632807766,418.5626843407476,2197.014444238305,2838.660569069147,79.16673540962918,81.37130775897243,11.860607308142866
4,2200.230320646449,2752.762030113245,4952.992350759694,428.2217873171883,2241.111691079558,2786.2756347898594,79.03934802972402,81.1042894513177,11.566418378173182
5,2348.182263213762,2604.365988404371,4952.548251618133,436.9543473222197,2388.0067872207164,2641.2527775672297,79.52126849968575,80.41295944731439,11.334246430934387
6,2374.99618233349,2558.906940367724,4933.903122701215,440.15874330022206,2416.0259389593325,2595.898723737513,79.42538841891503,80.31549757166714,11.209372068149317
7,2332.8406169704863,2608.56105451893,4941.401671489417,445.0183033119637,2375.61059607338,2645.5431102537173,79.11098430332642,80.40814061710921,11.103816707569058
8,2283.5913339021777,2341.28465839999,4624.875992302168,454.5193512356812,2328.362403230049,2385.0178414223,78.74593392531514,79.01087179734326,10.175311523543996
9,2050.7035272262556,2486.694006433028,4537.397533659283,451.38564651255825,2098.718711425812,2528.41243768148,77.71970014520835,79.57646104915636,10.052152895679296
10,2104.9117559373335,2811.4768877208417,4916.388643658175,463.7103938670758,2153.186034034079,2851.6801074381606,77.84146286406748,80.3637456901548,10.602282607164236
11,2348.826318385695,3133.1548929835394,5481.981211369234,461.92551474279367,2391.1348382358137,3169.7247400750844,79.20050742726613,81.2816829626189,11.867673545640091
12,2706.342097779779,3223.4198711946615,5929.761968974441,467.82158568909864,2745.524792441461,3258.1485111625257,80.30780551946134,81.6261380565546,12.675263712425611
13,3066.600203572219,2928.675687068352,5995.275890640571,475.41620341606375,3102.482263258608,2967.762353140085,81.27701995603685,80.69029271377508,12.610583836987491
14,3168.591787168405,2470.320683566247,5638.912470734653,472.2749226246494,3203.9150325146747,2514.7418381697817,81.48407461159915,79.21475356103937,11.939893906279456
15,3888.1105833907695,2342.9189304481633,6231.029513838933,499.5729692743389,3920.4368471780285,2395.229862747402,82.63701267104298,78.00344716295105,12.47271148975473
16,3843.2409550534726,2154.297243710281,5997.538198763754,507.90848477203537,3876.852422166832,2213.1696156361377,82.44981024705493,76.75493493471689,11.808304800136643
17,3998.9173660867395,4195.100000766948,8194.017366853688,581.0022370331162,4039.3534516645773,4236.693237561084,81.88464780035518,81.96342260806126,14.103245813125229
18,3911.6910362606272,4410.673919743925,8322.364956004552,599.0081189893418,3956.220174690272,4452.2346829388125,81.39484142659155,82.16450599130998,13.893576217374497
19,3932.755873982056,4343.8045795537655,8276.560453535822,622.461498452642,3980.494315394999,4389.396500494401,81.11671970936855,81.73398091448851,13.29650183041083
20,4242.562130459202,4338.794610742558,8581.35674120176,633.7298163605592,4288.7959545683625,4385.668831528054,81.57909939533295,81.61520889919687,13.541033607166458
21,4367.123744126682,4303.943872872801,8671.067616999484,638.9184562528222,4411.793602099443,4352.927872102879,81.83807629501953,81.39479335367619,13.571477756104
22,4337.451769906626,4332.799151976747,8670.250921883373,646.0885114502184,4383.977365369594,4382.034576410262,81.64438984708181,81.40219720513947,13.419602373708855
23,4319.455358716882,4669.920241476458,8989.37560019334,646.5978610792586,4366.256152279516,4715.80055532282,81.60266382043658,82.00030378714051,13.90257552845731
